#LUME VERSION, 0.54
#2848 point's captured data set in LUME at: 1/11/2020 : 4:19:13 pm
frame,x,y,z,int
2553,19778,6020.9,123.09,1462.2
2554,19755,6022.1,143.89,1052.7
2555,19792,6049.3,89.683,2083.7
2557,19797,6023.5,151.46,3835.6
2558,19985,5440,48.191,1909.6
2561,19806,6035.6,95.866,1066.9
2568,19601,6528.5,152.67,1956.7
2569,19613,6572.3,130.45,1875.4
2571,19636,6539.8,110.86,2003.2
2571,19636,6539.8,111.33,2005
2572,19604,6552.5,123.9,7483.3
2576,19606,6567.3,203.58,1760.9
2578,19627,6580.9,170.53,1642
2589,20539,3878.7,-160.99,1275.3
2593,20530,3889.8,-159.74,2974
2625,19313,7187.5,60.727,1375.4
2646,19512,6763,86.658,12901
2647,20052,5413.1,-43.743,1162.6
2666,18143,9879.2,-33.915,1837.8
2681,20052,5329.8,48.498,1187.3
2681,20053,5330.2,42.606,1126.2
2690,19611,6510.7,85.385,600.64
2712,17952,10284,-39.365,5548.6
2717,20135,5189.7,-303.29,3048.5
2731,19026,8043.1,137.29,6733.7
2735,19500,6766,95.477,8109.3
2773,20221,5121,-115.45,3613.3
2774,18872,8439.8,108.71,2898.2
2801,19386,6973.1,99.993,5604.5
2802,19390,6991.7,94.969,1988.7
2805,19386,6984.1,146.41,8945.6
2827,20230,4712.3,-35.882,7723.1
2831,20235,4713.5,-38.225,12820
2835,20237,4719.5,-32.472,5690.9
2855,19542,6673.1,126.8,1337.7
2856,19522,6666.3,80.564,1792.2
2857,19362,7140.1,102.03,4416.5
2859,19363,7102.6,86.632,2886.5
2860,19355,7077,62.649,2559.3
2891,19478,6832.1,43.022,4735.2
2892,20466,3747.3,-165.51,763.77
2893,20452,3763.7,-102.75,1405.1
2910,19330,7167.6,107.42,742.21
2916,20109,5284.9,69.102,1607.6
2921,19990,5423.6,59.767,687.39
2922,19990,5476.5,36.912,1444.7
2935,18621,8841,67.457,3498.4
2937,18624,8807.3,77.68,815.54
2942,18116,10261,-148.03,1255.2
2951,19350,7124.5,102.26,1910.4
2967,19782,6013.9,141.05,2663.4
2970,19759,6032.4,131.84,577.62
2971,19777,6033.4,178.25,4858.9
2972,19779,6008.4,171.03,766.85
2976,19785,6014.3,179.99,1314.7
2979,19764,6024.6,175.82,2265.9
2980,19758,6057.7,96.422,900.48
2982,19804,5986.9,86.895,703.67
2984,18617,8927.7,81.283,695.53
2985,18620,8899.6,71.245,635.9
2987,19779,6038.8,109.78,5242.8
2989,19766,6005.5,180.18,1602.9
2994,17958,10057,-98.996,1515.8
2995,17928,10056,-85.127,1035.8
2997,18580,9061.5,61.86,4343.9
2998,20272,4451.3,-107.19,703.2
3002,20073,5338,-67.431,732.78
3018,19141,7417.3,104.16,627.34
3022,20668,3782.8,-62.902,391.86
3025,19673,6236,113.21,962.28
3034,19148,7453.1,30.195,1058.1
3038,19117,7454.1,112.66,583.62
3058,19188,7431.9,60.097,1131.4
3067,19396,7008.1,70.229,364.39
3073,18255,9684.8,5.1596,784.89
3081,20138,4980.3,-128.43,466.25
3082,20112,4994.1,-42.261,417.71
3083,18728,8676.8,88.932,8747.7
3086,20016,5482.4,63.096,10801
3090,20746,3793.4,-185.68,497.82
3090,20020,5486.5,50.609,9315.2
3093,20001,5513.7,74.366,4836.2
3093,20005,5508.2,63.627,13725
3106,17940,10362,-29.411,2607.1
3128,18182,10041,-160.1,2257.4
3132,18615,8848.4,77.725,8282.1
3133,19743,6069.9,161.23,6027.6
3136,18609,8852.9,95.046,4145.4
3143,19240,7305,65.139,5137.8
3146,19218,7286.9,59.214,677.71
3153,19420,6945.1,147.75,703.7
3154,20342,4393,-117.57,487.1
3155,19870,5946.5,31.736,393.39
3158,18671,8728.5,49.559,875.81
3177,19381,7147.9,82.525,5578.1
3179,19379,7132.3,76.8,3022.1
3182,18246,9752.2,35.353,487.65
3182,19278,7185.1,110.99,1507.7
3183,19272,7197.6,84.561,6163
3192,20310,4502.2,-80.607,4118.1
3196,20308,4513.3,-65.63,968.75
3207,19220,7514.1,72.483,8013.1
3211,19229,7510.3,68.314,7689.1
3215,19219,7504.5,95.555,4066.2
3217,19231,7512.7,72.969,2217.4
3228,20003,5404,5.0454,8136.7
3232,20016,5397.8,-12.733,2051.1
3243,18396,9335.6,27.494,19976
3247,18392,9331.5,34.217,7050.4
3248,20105,5290,60.855,3866.6
3249,18164,9816,21.33,1475.1
3249,18159,9816.9,8.4025,1924.9
3250,18163,9840.6,1.4047,2995.7
3250,20097,5270,55.335,1477
3297,20189,5085.2,-60.541,356.8
3300,19645,6514.1,8.944,427.83
3300,19980,5386.3,34.058,884.24
3301,19600,6551.3,49.612,378.81
3321,18922,8291.4,68.095,5463.7
3326,18043,10032,-8.8887,8240.2
3330,18045,10033,-0.36802,1581.4
3333,18768,8586.5,94.933,10511
3337,18764,8599.9,117.09,1690.7
3340,19384,7070.1,188.66,1629.9
3340,18362,9492.8,29.43,4222.7
3352,19313,7232.7,137.45,5437.1
3354,18476,9227.5,-14.158,4563
3354,18476,9227.5,-13.803,4540
