x,y,z
22728,10950,-283.13
21476,10907,-142.6
21431,10908,-140.15
22910,11006,194.13
22397,10771,303.55
21865,10661,272.56
24877,10784,-219.5
23107,10833,-53.662
23002,10793,-136.2
22950,10809,196.81
24605,10904,-259.42
20818,10231,-31.045
20816,10036,-122.31
24663,10941,-418.47
22515,11238,-114.21
25181,10693,-318.44
25399,10664,-345.78
22440,11174,-247.69
25384,10671,-416.31
22459,11128,235.75
22321,11103,293.18
21716,10517,-292.37
21191,10608,164.44
21423,10815,-273.95
24794,10908,-246.48
22318,10752,259.95
24532,10880,-286.48
24450,11009,-379.89
20930,10387,-104.42
21940,11057,61.153
21162,10700,169.04
22662,10975,-374.14
21596,10754,-437.75
21727,10578,-230.49
21661,10694,-348.28
21588,10723,-383.62
21540,10626,-440.56
21434,10790,-334.6
20815,10055,-439.24
21314,10600,250.97
22330,10702,273.55
20898,10236,-392.56
22414,11027,-313.69
22028,11058,-270.88
22838,10853,-345.58
22832,10846,-314.41
21532,10559,-346.43
22485,10642,-232.61
21794,10433,-9.1105
20903,10137,-24.458
22937,10945,-349.14
24596,10917,-349.26
22004,10723,-346.58
21271,10701,-364.48
22327,10929,434.13
20963,10226,-64.063
23624,11044,-318.15
23700,11015,-303.14
21772,10458,-271.85
23007,11187,-36.867
25419,10694,-352.58
22237,10821,-435.87
22288,10811,-390.59
24814,10833,-312.52
21750,10455,-236.36
21747,10480,-249.93
21189,10750,-212.23
21203,10714,-279.8
22060,10507,-143.12
22509,11026,-379.95
22094,10527,-5.2052
21819,10699,381.78
21715,11015,-130.15
21450,10947,-154.79
22084,11139,-94.714
21290,10427,241.02
22001,10855,-366.6
25433,10680,-367.16
21213,10201,-177.18
22235,10605,151.66
24382,11003,-331.93
24619,10905,-354.57
22700,10775,253.57
22687,10766,236.04
22724,10788,239.8
22734,10777,235.07
22684,10760,232.12
22708,10758,225.37
22705,10771,260.26
22849,10848,-380.35
21116,10361,-298.6
21006,10191,180.36
22078,10815,-416.7
21952,11021,167.89
21023,10455,-347.55
21836,10513,-130.59
21636,10531,-347.78
21510,10572,-286.58
22540,10856,-372.01
21418,10423,261.74
22794,10954,339.7
24247,11024,-326.27
22238,10551,-155.79
22256,10558,-14.57
22249,10533,-76.702
22753,11001,278.4
21734,10482,-278.58
24899,10873,-293.22
21790,10476,-232.55
21223,10593,-402.78
21762,10441,-338.24
21770,10478,-271.44
22676,10779,243.26
23687,11060,-261.5
25202,10660,-263.45
23527,10999,-182.59
22730,10775,228.79
22859,10719,-142.27
20976,10487,168.08
20849,10621,-438.71
22867,10898,-374.47
22807,10751,-44.097
22567,10847,-415.06
22561,10862,-408.32
22569,10808,-359.15
22035,10621,-300.72
22049,10605,-385.19
22457,10664,138.21
22427,10633,132.06
21020,10601,-26.043
23936,11003,-262.87
21009,10633,-32.469
22975,10835,96.145
20958,10646,-137.4
20993,10635,-125.5
22897,10852,-337.76
22891,10843,-353.24
21743,10471,-257.58
25061,10716,-292.36
22768,10768,-367.92
21031,10621,-72.817
20993,10639,-139.15
23020,10922,-324.87
21477,10598,-386.9
21497,10583,-459.07
22283,10836,202.89
22174,10892,336.87
21192,10219,-242.06
21411,10763,-251.28
21743,10953,-328.62
21743,11013,-296.55
22313,11071,269.1
25387,10685,-317.24
25265,10726,-315.59
21926,11027,-264.18
22110,10549,-309.46
21933,10949,-331.75
21955,11015,-288.74
21000,10310,268.94
21750,10638,268.67
24291,10959,-375.55
22762,11165,-289.65
22583,11207,-192.73
21784,10453,-207.51
22257,11014,296.96
22232,10990,293.65
21577,10704,326.01
22583,11206,-211.41
23065,10906,-288.4
22248,11020,203.11
22246,11040,284.86
